Trial,Reward,Cumulative Reward,Win Rate,Actual Reward
233,1.0,80.0,0.34334763948497854,1
234,0.0,80.0,0.3418803418803419,2
235,0.0,80.0,0.3404255319148936,3
236,1.0,81.0,0.3432203389830508,4
237,0.0,81.0,0.34177215189873417,1
238,0.0,81.0,0.3403361344537815,2
239,0.0,81.0,0.3389121338912134,3
240,0.0,81.0,0.3375,4
241,1.0,82.0,0.34024896265560167,1
242,0.0,82.0,0.33884297520661155,2
243,0.0,82.0,0.3374485596707819,3
244,0.0,82.0,0.3360655737704918,4
245,1.0,83.0,0.33877551020408164,1
246,0.0,83.0,0.33739837398373984,2
247,1.0,84.0,0.340080971659919,3
248,1.0,85.0,0.34274193548387094,4
249,0.0,85.0,0.3413654618473896,1
250,0.0,85.0,0.34,2
251,1.0,86.0,0.3426294820717131,3
252,0.0,86.0,0.3412698412698413,4
253,1.0,87.0,0.3438735177865613,1
254,0.0,87.0,0.3425196850393701,2
255,0.0,87.0,0.3411764705882353,3
256,1.0,88.0,0.34375,4
257,1.0,89.0,0.3463035019455253,1
258,0.0,89.0,0.3449612403100775,2
259,1.0,90.0,0.3474903474903475,3
260,1.0,91.0,0.35,4
261,1.0,92.0,0.3524904214559387,1
262,0.0,92.0,0.3511450381679389,2
263,0.0,92.0,0.34980988593155893,3
264,0.0,92.0,0.3484848484848485,4
265,0.0,92.0,0.3471698113207547,1
266,1.0,93.0,0.34962406015037595,2
267,1.0,94.0,0.352059925093633,3
268,1.0,95.0,0.35447761194029853,4
269,1.0,96.0,0.35687732342007433,1
270,1.0,97.0,0.3592592592592593,2
271,1.0,98.0,0.36162361623616235,3
272,1.0,99.0,0.3639705882352941,4
273,1.0,100.0,0.3663003663003663,1
274,1.0,101.0,0.3686131386861314,2
275,0.0,101.0,0.36727272727272725,3
276,1.0,102.0,0.3695652173913043,4
277,0.0,102.0,0.36823104693140796,1
278,0.0,102.0,0.3669064748201439,2
279,1.0,103.0,0.36917562724014336,3
280,1.0,104.0,0.37142857142857144,4
281,1.0,105.0,0.3736654804270463,1
282,0.0,105.0,0.3723404255319149,2
283,1.0,106.0,0.3745583038869258,3
284,1.0,107.0,0.3767605633802817,4
285,1.0,108.0,0.37894736842105264,1
286,1.0,109.0,0.3811188811188811,2
287,1.0,110.0,0.3832752613240418,3
288,1.0,111.0,0.3854166666666667,4
289,1.0,112.0,0.3875432525951557,1
290,0.0,112.0,0.38620689655172413,2
291,0.0,112.0,0.3848797250859107,3
292,1.0,113.0,0.386986301369863,4
293,0.0,113.0,0.3856655290102389,1
294,0.0,113.0,0.3843537414965986,2
295,0.0,113.0,0.38305084745762713,3
296,1.0,114.0,0.38513513513513514,4
297,1.0,115.0,0.3872053872053872,1
298,1.0,116.0,0.38926174496644295,2
299,1.0,117.0,0.391304347826087,3
300,1.0,118.0,0.3933333333333333,4
301,1.0,119.0,0.3953488372093023,1
302,1.0,120.0,0.3973509933774834,2
303,0.0,120.0,0.39603960396039606,3
304,0.0,120.0,0.39473684210526316,4
305,0.0,120.0,0.39344262295081966,1
306,0.0,120.0,0.39215686274509803,2
307,1.0,121.0,0.3941368078175896,3
308,0.0,121.0,0.39285714285714285,4
309,0.0,121.0,0.39158576051779936,1
310,0.0,121.0,0.3903225806451613,2
311,0.0,121.0,0.3890675241157556,3
